id,title,source,job_url,url_status,url_message
labor_timviec365_2052027,nhân viên bảo vệ,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-p2052027.html,working,OK (200)
labor_timviec365_2013446,BẢO VỆ CÔNG TRÌNH,TimViec365,https://timviec365.vn/bao-ve-cong-trinh-p2013446.html,working,OK (200)
labor_timviec365_860252,Tuyển 10 Bảo Vệ Nhà Máy Honda Vĩnh Phúc,TimViec365,https://timviec365.vn/tuyen-10-bao-ve-nha-may-honda-vinh-phuc-p860252.html,working,OK (200)
labor_timviec365_860256,Tuyển 15 Bảo Vệ Nhà Máy Honda Vĩnh Phúc,TimViec365,https://timviec365.vn/tuyen-15-bao-ve-nha-may-honda-vinh-phuc-p860256.html,working,OK (200)
labor_timviec365_860193,Tuyển 12 Nam Nữ Bảo Vệ Nhà Máy Sakurai Việt Nam ở thanh hóa,TimViec365,https://timviec365.vn/tuyen-12-nam-nu-bao-ve-nha-may-sakurai-viet-nam-o-thanh-hoa-p860193.html,working,OK (200)
labor_timviec365_860185,Tuyển 15 Nam Nữ Bảo Vệ Nhà Máy Sakurai Việt Nam ở thanh hóa,TimViec365,https://timviec365.vn/tuyen-15-nam-nu-bao-ve-nha-may-sakurai-viet-nam-o-thanh-hoa-p860185.html,working,OK (200)
labor_timviec365_860281,tuyển 15 nam bảo vệ FOXCONN HỒNG HẢI. { Vân Trung },TimViec365,https://timviec365.vn/tuyen-15-nam-bao-ve-foxconn-hong-hai-van-trung-p860281.html,working,OK (200)
labor_timviec365_860209,Tuyển 17 Nam Nữ Bảo Vệ Nhà Máy Sakurai Việt Nam ở thanh hóa,TimViec365,https://timviec365.vn/tuyen-17-nam-nu-bao-ve-nha-may-sakurai-viet-nam-o-thanh-hoa-p860209.html,working,OK (200)
labor_timviec365_860188,Tuyển 10 Nam Nữ Bảo Vệ Nhà Máy Sakurai Việt Nam ở thanh hóa,TimViec365,https://timviec365.vn/tuyen-10-nam-nu-bao-ve-nha-may-sakurai-viet-nam-o-thanh-hoa-p860188.html,working,OK (200)
labor_timviec365_860293,tuyển 10 nam bảo vệ FOXCONN HỒNG HẢI. { Vân Trung },TimViec365,https://timviec365.vn/tuyen-10-nam-bao-ve-foxconn-hong-hai-van-trung-p860293.html,working,OK (200)
labor_timviec365_783205,Nhân viên bảo vệ giám sát camera ca đêm,TimViec365,https://timviec365.vn/nhan-vien-bao-ve-giam-sat-camera-ca-dem-p783205.html,working,OK (200)
labor_timviec365_2066535,TUYỂN LÁI XE CONTAINER,TimViec365,https://timviec365.vn/lai-xe-container-p2066535.html,working,OK (200)
labor_timviec365_2066848,TUYỂN TÀI XẾ XE BỒN BÊ TÔNG (Bằng C Trở Lên),TimViec365,https://timviec365.vn/tuyen-tai-xe-xe-bon-be-tong-bang-c-tro-len-p2066848.html,working,OK (200)
labor_timviec365_2067054,Nhân Viên Lái Xe Tải Van 550kg,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-tai-van-550kg-p2067054.html,working,OK (200)
labor_timviec365_2066995,Tuyển lái xe tải bằng C,TimViec365,https://timviec365.vn/tuyen-lai-xe-tai-bang-c-p2066995.html,working,OK (200)
labor_timviec365_2066951,Tuyển Nhân Viên Giao Hàng Bằng Xe Máy,TimViec365,https://timviec365.vn/tuyen-nhan-vien-giao-hang-bang-xe-may-p2066951.html,working,OK (200)
labor_timviec365_2066948,Nhân Viên Tài Xế Xe Bồn Bê Tông,TimViec365,https://timviec365.vn/nhan-vien-tai-xe-xe-bon-be-tong-p2066948.html,working,OK (200)
labor_timviec365_2066920,NHÂN VIÊN LÁI XE NÂNG,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-nang-p2066920.html,working,OK (200)
labor_timviec365_2066833,"LÁI XE GIAO HÀNG XE TẢI 1,25 TẤN",TimViec365,https://timviec365.vn/lai-xe-giao-hang-xe-tai-125-tan-p2066833.html,working,OK (200)
labor_timviec365_2065767,Tuyển lái xe giao hàng,TimViec365,https://timviec365.vn/tuyen-lai-xe-giao-hang-p2065767.html,working,OK (200)
labor_timviec365_2066447,2 LÁI XE CA NGÀY 4 LÁI XE CA ĐÊM CHUYÊN TUYẾN SÂN BAY,TimViec365,https://timviec365.vn/2-lai-xe-ca-ngay-4-lai-xe-ca-djem-chuyen-tuyen-san-bay-p2066447.html,working,OK (200)
labor_timviec365_2066260,tuyển nhân viên lái xe,TimViec365,https://timviec365.vn/tuyen-nhan-vien-lai-xe-p2066260.html,working,OK (200)
labor_timviec365_2066247,Lái xe Nâng,TimViec365,https://timviec365.vn/lai-xe-nang-p2066247.html,working,OK (200)
labor_timviec365_2066240,Nhân Viên Lái Xe,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-p2066240.html,working,OK (200)
labor_timviec365_2066217,tuyển tài xế,TimViec365,https://timviec365.vn/tuyen-tai-xe-p2066217.html,working,OK (200)
labor_timviec365_2066890,"Tuyển Tài Xế Oto Ở Khu Vực Q12, Gò Vấp",TimViec365,https://timviec365.vn/tuyen-tai-xe-oto-o-khu-vuc-q12-go-vap-p2066890.html,working,OK (200)
labor_timviec365_2066202,Tuyển dụng tài xế giao hàng mỹ phẩm,TimViec365,https://timviec365.vn/tuyen-dung-tai-xe-giao-hang-my-pham-p2066202.html,working,OK (200)
labor_timviec365_2065885,NHÂN VIÊN HÀNH CHÍNH-QUẢN LÝ GIẤY TỜ,TimViec365,https://timviec365.vn/nhan-vien-quan-ly-chat-luong-dich-vu-p2065885.html,working,OK (200)
labor_timviec365_2065029,NHÂN VIÊN LÁI XE,TimViec365,https://timviec365.vn/kien-truc-su-p2065029.html,working,OK (200)
labor_timviec365_2066003,Tài xế lái xe văn phòng,TimViec365,https://timviec365.vn/tai-xe-lai-xe-van-phong-p2066003.html,working,OK (200)
labor_timviec365_2065995,"Tài xế xe tải 1,9 tấn tại Thủ Đức",TimViec365,https://timviec365.vn/tai-xe-xe-tai-19-tan-tai-thu-djuc-p2065995.html,working,OK (200)
labor_timviec365_2065852,Tuyển Nhân viên Giao hàng bằng xe máy,TimViec365,https://timviec365.vn/tuyen-nhan-vien-giao-hang-bang-xe-may-p2065852.html,working,OK (200)
labor_timviec365_2065476,TUYỂN DỤNG LÁI MÁY ỦI – LÁI MÁY XÚC,TimViec365,https://timviec365.vn/tuyen-dung-lai-may-ui-lai-may-xuc-p2065476.html,working,OK (200)
